no-clone-element	react
no-commented-out-tests	jest
no-commented-out-tests	vitest
no-commonjs	import
no-compare-neg-zero	eslint
no-computed-properties-in-data	vue
no-cond-assign	eslint
no-confusing-array-with	unicorn
no-conditional-expect	jest
no-conditional-expect	vitest
no-conditional-in-test	jest
no-conditional-in-test	vitest
no-conditional-tests	vitest
no-confusing-non-null-assertion	typescript
no-confusing-set-timeout	jest
no-confusing-void-expression	typescript
no-console	eslint
no-console-spaces	unicorn
no-const-assign	eslint
no-const-enum	oxc
no-constant-binary-expression	eslint
no-constant-condition	eslint
no-constructor-return	eslint
no-continue	eslint
no-control-regex	eslint
no-css-tags	nextjs
no-cycle	import
no-danger	react
no-danger-with-children	react
no-debugger	eslint
no-default-export	import
no-defaults	jsdoc
no-delete-var	eslint
no-deprecated	typescript
no-deprecated-data-object-declaration	vue
no-deprecated-delete-set	vue
no-deprecated-destroyed-lifecycle	vue
no-deprecated-events-api	vue
no-deprecated-functions	jest
no-deprecated-model-definition	vue
no-deprecated-props-default-this	vue
no-deprecated-vue-config-keycodes	vue
no-did-mount-set-state	react
no-did-update-set-state	react
no-direct-mutation-state	react
no-disabled-tests	jest
no-disabled-tests	vitest
no-distracting-elements	jsx-a11y
no-div-regex	eslint
no-document-cookie	unicorn
no-document-import-in-page	nextjs
no-done-callback	jest
no-dupe-class-members	eslint
no-dupe-else-if	eslint
no-dupe-keys	eslint
no-dupe-keys	vue
no-duplicate-case	eslint
no-duplicate-enum-values	typescript
no-duplicate-head	nextjs
no-duplicate-hooks	jest
no-duplicate-hooks	vitest
no-duplicate-imports	eslint
no-duplicate-type-constituents	typescript
no-duplicates	import
no-dynamic-delete	typescript
no-dynamic-require	import
no-else-return	eslint
no-empty	eslint
no-empty-character-class	eslint
no-empty-file	unicorn
no-empty-function	eslint
no-empty-interface	typescript
no-empty-named-blocks	import
no-empty-object-type	typescript
no-empty-pattern	eslint
no-empty-static-block	eslint
no-eq-null	eslint
no-eval	eslint
no-ex-assign	eslint
no-explicit-any	typescript
no-export	jest
no-export-in-script-setup	vue
no-exports-assign	node
no-expose-after-await	vue
no-extend-native	eslint
no-extra-bind	eslint
no-extra-boolean-cast	eslint
no-extra-label	eslint
no-extra-non-null-assertion	typescript
no-extraneous-class	typescript
no-fallthrough	eslint
no-find-dom-node	react
no-floating-promises	typescript
no-focused-tests	jest
no-focused-tests	vitest
no-for-in-array	typescript
no-func-assign	eslint
no-global-assign	eslint
no-head-element	nextjs
no-head-import-in-document	nextjs
no-hex-escape	unicorn
no-hooks	jest
no-hooks	vitest
no-html-link-for-pages	nextjs
no-identical-title	jest
no-identical-title	vitest
